"name"
"beaver"
"cow"
"wolf"
"goat"
"pig"
"elephant"
"donkey"
"horse"
"monkey"
"cat"
"giraffe"
"gorilla"
"kangaroo"
"hamster"
"mouse"
"rabbit"
"sheep"
"jaguar"
"chimpanzee"
"rat"
"dog"
"squirrel"
 
